Retail Sku,External ID,Sku Suffix,Retailskusuffix,Online Sku Suffix,Barcode,Alias
,,607-2,FIE56682-169-0001,FIE56682-169-0001,8.88579E+11,HideVariantWhenOutOfStock
,,607-6,FIE56566M,FIE56566M,8.88579E+11,HideVariantWhenOutOfStock
,,2416-1,FIE56655-001,FIE56655-001,8.88579E+11,HideVariantWhenOutOfStock
,,2416-3,FIE56657BLK,FIE56657BLK,8.88579E+11,HideVariantWhenOutOfStock
,,2416-1,FIE56664BLK-0001,FIE56664BLK-0001,8.88579E+11,HideVariantWhenOutOfStock
,,2416-2,FIE56664BLK-0002,FIE56664BLK-0002,8.88579E+11,HideVariantWhenOutOfStock
,,2416-3,FIE56664BLK-0003,FIE56664BLK-0003,8.88579E+11,HideVariantWhenOutOfStock
,,2416-1,FIE74512-019-0006,FIE74512-019-0006,8.88579E+11,HideVariantWhenOutOfStock
,,2416-2,FIE74512-019-0014,FIE74512-019-0014,8.88579E+11,HideVariantWhenOutOfStock
,,2416-3,FIE74512-019-0022,FIE74512-019-0022,8.88579E+11,HideVariantWhenOutOfStock
,,2416-4,FIE74512-019-0030,FIE74512-019-0030,8.88579E+11,HideVariantWhenOutOfStock
,,2416-5,FIE74512-019-0034,FIE74512-019-0034,8.88579E+11,HideVariantWhenOutOfStock
,,155-6,FIE74512-724-0014,FIE74512-724-0014,8.88579E+11,HideVariantWhenOutOfStock
,,155-7,FIE74512-724-0022,FIE74512-724-0022,8.88579E+11,HideVariantWhenOutOfStock
,,155-8,FIE74512-724-0030,FIE74512-724-0030,8.88579E+11,HideVariantWhenOutOfStock
,,155-9,FIE74512-724-0034,FIE74512-724-0034,8.88579E+11,HideVariantWhenOutOfStock
,,2416-1,FIE74521-019-0018,FIE74521-019-0018,8.88579E+11,HideVariantWhenOutOfStock
,,2416-2,FIE74521-019-0028,FIE74521-019-0028,8.88579E+11,HideVariantWhenOutOfStock
,,2416-3,FIE74521-019-0038,FIE74521-019-0038,8.88579E+11,HideVariantWhenOutOfStock
,,2416-4,FIE74521-019-0043,FIE74521-019-0043,8.88579E+11,HideVariantWhenOutOfStock
,,2068-5,CAR101195-408-0001,CAR101195-408-0001,1.95837E+11,HideVariantWhenOutOfStock
,CND1097,300-2,CND242-498,CND242-498,22886261009,HideVariantWhenOutOfStock
,SAN64000,119-1,SAN64000-0001,SAN64000-0001,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,119-2,SAN64000-0002,SAN64000-0002,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,119-3,SAN64000-0003,SAN64000-0003,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,119-4,SAN64000-0004,SAN64000-0004,6.71524E+11,HideVariantWhenOutOfStock
,,300-1,UF55889,UF55889,6.13902E+11,HideVariantWhenOutOfStock
,,2416-2,UF55890,UF55890,6.13902E+11,HideVariantWhenOutOfStock
,,126-3,UF55888,UF55888,6.13902E+11,HideVariantWhenOutOfStock
,,607-4,UF55895,UF55895,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2416-1,UF42000-0001,UF42000-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2416-2,UF42000-0002,UF42000-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2416-3,UF42000-0003,UF42000-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2416-4,UF42000-0004,UF42000-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2416-5,UF42000-0005,UF42000-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2416-6,UF42000-0006,UF42000-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,126-1,UF42005-0001,UF42005-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,126-2,UF42005-0002,UF42005-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,126-3,UF42005-0003,UF42005-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,126-4,UF42005-0004,UF42005-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,126-5,UF42005-0005,UF42005-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,126-6,UF42005-0006,UF42005-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,166728-1,UF42015-0001,UF42015-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,166728-2,UF42015-0002,UF42015-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,166728-3,UF42015-0003,UF42015-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,166728-4,UF42015-0004,UF42015-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,166728-5,UF42015-0005,UF42015-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,166728-6,UF42015-0006,UF42015-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2399-1,UF42040-0001,UF42040-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2399-2,UF42040-0002,UF42040-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2399-3,UF42040-0003,UF42040-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2399-4,UF42040-0004,UF42040-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2399-5,UF42040-0005,UF42040-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF42000-0006-tempt,2399-6,UF42040-0006,UF42040-0006,6.13902E+11,HideVariantWhenOutOfStock
,,118-4,UF57832-0001,UF57832-0001,6.13902E+11,HideVariantWhenOutOfStock
,,166728-1,UF57833-0001,UF57833-0001,6.13902E+11,HideVariantWhenOutOfStock
,,113-5,UF57834-0001,UF57834-0001,6.13902E+11,HideVariantWhenOutOfStock
,,330-2,UF57835-0001,UF57835-0001,6.13902E+11,HideVariantWhenOutOfStock
,,166785-6,UF57836-0001,UF57836-0001,6.13902E+11,HideVariantWhenOutOfStock
,,1020-3,UF57837-0001,UF57837-0001,6.13902E+11,HideVariantWhenOutOfStock
,SAN64000,119-5,SAN64000-0005,SAN64000-0005,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,2416-1,SAN6400BLK-0001,SAN6400BLK-0001,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,2416-2,SAN6400BLK-0002,SAN6400BLK-0002,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,2416-3,SAN6400BLK-0003,SAN6400BLK-0003,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,2416-4,SAN6400BLK-0004,SAN6400BLK-0004,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,2416-5,SAN6400BLK-0005,SAN6400BLK-0005,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,945-1,SAN6400HNY-0001,SAN6400HNY-0001,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,945-2,SAN6400HNY-0002,SAN6400HNY-0002,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,945-3,SAN6400HNY-0003,SAN6400HNY-0003,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,945-4,SAN6400HNY-0004,SAN6400HNY-0004,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,945-5,SAN6400HNY-0005,SAN6400HNY-0005,6.71524E+11,HideVariantWhenOutOfStock
,SAN64000,1793-1,SAN6400HRO-0001,SAN6400HRO-0001,6.71524E+11,HideVariantWhenOutOfStock
